Student/File,CircularLine.hpp,ThrowTheBall.hpp,AzimuthMonitoring.hpp,Inchworm.hpp,StreetParking.hpp,EggCartons.hpp,PartySeats.hpp,DownloadingFiles.hpp,InchWorm.hpp,inchworm.hpp,DownloadingFile.hpp,ChangingString.hpp,getAzimuth.hpp
s111,"week1-19/s111/CircularLine.hpp:184:7: Rule9 Violated: Code that is never executed.
","week1-19/s111/ThrowTheBall.hpp:120:5: Rule9 Violated: Code that is never executed.
week1-19/s111/ThrowTheBall.hpp:91:7: Rule9 Violated: Code that is never executed.
week1-19/s111/ThrowTheBall.hpp:108:3: Rule11 Violated: Variable declared in loop.
","week1-19/s111/AzimuthMonitoring.hpp:77:7: Rule9 Violated: Code that is never executed.
","week1-19/s111/Inchworm.hpp:46:7: Rule9 Violated: Code that is never executed.
","week1-19/s111/StreetParking.hpp:124:7: Rule9 Violated: Code that is never executed.
week1-19/s111/StreetParking.hpp:135:5: Rule11 Violated: Variable declared in loop.
week1-19/s111/StreetParking.hpp:148:5: Rule11 Violated: Variable declared in loop.
week1-19/s111/StreetParking.hpp:164:5: Rule11 Violated: Variable declared in loop.
week1-19/s111/StreetParking.hpp:171:5: Rule11 Violated: Variable declared in loop.
",,,,,,,,
s129,,"week1-19/s129/ThrowTheBall.hpp:3:7: Rule9 Violated: Code that is never executed.
week1-19/s129/ThrowTheBall.hpp:9:3: Rule11 Violated: Variable declared in loop.
week1-19/s129/ThrowTheBall.hpp:10:3: Rule12 Violated: Consider refactoring the loop to remove the initial 'if' condition.
","week1-19/s129/AzimuthMonitoring.hpp:5:7: Rule9 Violated: Code that is never executed.
week1-19/s129/AzimuthMonitoring.hpp:9:3: Rule11 Violated: Variable declared in loop.
","week1-19/s129/Inchworm.hpp:3:7: Rule9 Violated: Code that is never executed.
week1-19/s129/Inchworm.hpp:7:3: Rule11 Violated: Variable declared in loop.
","week1-19/s129/StreetParking.hpp:14:4: Rule3 Violated: Avoiding deep nested IFs by using and (&&) operator.
week1-19/s129/StreetParking.hpp:4:7: Rule9 Violated: Code that is never executed.
week1-19/s129/StreetParking.hpp:8:3: Rule11 Violated: Variable declared in loop.
week1-19/s129/StreetParking.hpp:13:3: Rule11 Violated: Variable declared in loop.
","week1-19/s129/EggCartons.hpp:39:6: Rule1 Violated: No need to check if Boolean variable is equal to true or false.
week1-19/s129/EggCartons.hpp:24:5: Rule4 Violated: Avoid a series of consecutive IF statements that when true they result in the same action by using or (||) operator.
week1-19/s129/EggCartons.hpp:31:5: Rule4 Violated: Avoid a series of consecutive IF statements that when true they result in the same action by using or (||) operator.
week1-19/s129/EggCartons.hpp:4:7: Rule9 Violated: Code that is never executed.
week1-19/s129/EggCartons.hpp:12:3: Rule11 Violated: Variable declared in loop.
week1-19/s129/EggCartons.hpp:14:4: Rule11 Violated: Variable declared in loop.
",,,,,,,
s116,,"week1-19/s116/ThrowTheBall.hpp:42:4: and week1-19/s116/ThrowTheBall.hpp:61:4 Rule7 Violated: Repeated statement(s) in branches of conditional statement (could be taken out).
week1-19/s116/ThrowTheBall.hpp:39:4: and week1-19/s116/ThrowTheBall.hpp:58:4 Rule7 Violated: Repeated statement(s) in branches of conditional statement (could be taken out).
week1-19/s116/ThrowTheBall.hpp:36:4: and week1-19/s116/ThrowTheBall.hpp:55:4 Rule7 Violated: Repeated statement(s) in branches of conditional statement (could be taken out).
week1-19/s116/ThrowTheBall.hpp:4:7: Rule9 Violated: Code that is never executed.
week1-19/s116/ThrowTheBall.hpp:11:2: Rule11 Violated: Variable declared in loop.
","week1-19/s116/AzimuthMonitoring.hpp:7:7: Rule9 Violated: Code that is never executed.
week1-19/s116/AzimuthMonitoring.hpp:19:3: Rule11 Violated: Variable declared in loop.
","week1-19/s116/Inchworm.hpp:7:7: Rule9 Violated: Code that is never executed.
","week1-19/s116/StreetParking.hpp:14:4: Rule3 Violated: Avoiding deep nested IFs by using and (&&) operator.
week1-19/s116/StreetParking.hpp:5:7: Rule9 Violated: Code that is never executed.
week1-19/s116/StreetParking.hpp:12:3: Rule11 Violated: Variable declared in loop.
","week1-19/s116/EggCartons.hpp:6:7: Rule9 Violated: Code that is never executed.
week1-19/s116/EggCartons.hpp:24:3: Rule11 Violated: Variable declared in loop.
",,,,,,,
s118,,"week1-19/s118/ThrowTheBall.hpp:4:7: Rule9 Violated: Code that is never executed.
week1-19/s118/ThrowTheBall.hpp:9:3: Rule11 Violated: Variable declared in loop.
",,"week1-19/s118/Inchworm.hpp:21:9: Rule5 Violated: Checking an expression that has a known True/False value.
week1-19/s118/Inchworm.hpp:4:7: Rule9 Violated: Code that is never executed.
",,"week1-19/s118/EggCartons.hpp:4:7: Rule9 Violated: Code that is never executed.
","week1-19/s118/PartySeats.hpp:8:7: Rule9 Violated: Code that is never executed.
week1-19/s118/PartySeats.hpp:20:3: Rule11 Violated: Variable declared in loop.
","week1-19/s118/DownloadingFiles.hpp:6:7: Rule9 Violated: Code that is never executed.
",,,,,
s127,,"week1-19/s127/ThrowTheBall.hpp:10:3: Rule4 Violated: Avoid a series of consecutive IF statements that when true they result in the same action by using or (||) operator.
week1-19/s127/ThrowTheBall.hpp:14:3: Rule4 Violated: Avoid a series of consecutive IF statements that when true they result in the same action by using or (||) operator.
week1-19/s127/ThrowTheBall.hpp:14:3: Rule4 Violated: Avoid a series of consecutive IF statements that when true they result in the same action by using or (||) operator.
week1-19/s127/ThrowTheBall.hpp:18:3: Rule4 Violated: Avoid a series of consecutive IF statements that when true they result in the same action by using or (||) operator.
week1-19/s127/ThrowTheBall.hpp:4:7: Rule9 Violated: Code that is never executed.
","week1-19/s127/AzimuthMonitoring.hpp:6:7: Rule9 Violated: Code that is never executed.
","week1-19/s127/Inchworm.hpp:10:2: Rule4 Violated: Avoid a series of consecutive IF statements that when true they result in the same action by using or (||) operator.
week1-19/s127/Inchworm.hpp:14:2: Rule4 Violated: Avoid a series of consecutive IF statements that when true they result in the same action by using or (||) operator.
week1-19/s127/Inchworm.hpp:14:2: Rule4 Violated: Avoid a series of consecutive IF statements that when true they result in the same action by using or (||) operator.
week1-19/s127/Inchworm.hpp:18:2: Rule4 Violated: Avoid a series of consecutive IF statements that when true they result in the same action by using or (||) operator.
week1-19/s127/Inchworm.hpp:4:7: Rule9 Violated: Code that is never executed.
","week1-19/s127/StreetParking.hpp:48:10: Rule3 Violated: Avoiding deep nested IFs by using and (&&) operator.
week1-19/s127/StreetParking.hpp:59:5: Rule3 Violated: Avoiding deep nested IFs by using and (&&) operator.
week1-19/s127/StreetParking.hpp:68:5: Rule3 Violated: Avoiding deep nested IFs by using and (&&) operator.
week1-19/s127/StreetParking.hpp:4:7: Rule9 Violated: Code that is never executed.
","week1-19/s127/EggCartons.hpp:12:3: Rule4 Violated: Avoid a series of consecutive IF statements that when true they result in the same action by using or (||) operator.
week1-19/s127/EggCartons.hpp:16:3: Rule4 Violated: Avoid a series of consecutive IF statements that when true they result in the same action by using or (||) operator.
week1-19/s127/EggCartons.hpp:40:8: Rule5 Violated: Checking an expression that has a known True/False value.
week1-19/s127/EggCartons.hpp:4:7: Rule9 Violated: Code that is never executed.
",,,,,,,
s119,,"week1-19/s119/ThrowTheBall.hpp:29:19: Rule9 Violated: Code that is never executed.
week1-19/s119/ThrowTheBall.hpp:23:7: Rule9 Violated: Code that is never executed.
",,"week1-19/s119/Inchworm.hpp:30:2: Rule4 Violated: Avoid a series of consecutive IF statements that when true they result in the same action by using or (||) operator.
week1-19/s119/Inchworm.hpp:31:2: Rule4 Violated: Avoid a series of consecutive IF statements that when true they result in the same action by using or (||) operator.
week1-19/s119/Inchworm.hpp:31:2: Rule4 Violated: Avoid a series of consecutive IF statements that when true they result in the same action by using or (||) operator.
week1-19/s119/Inchworm.hpp:32:2: Rule4 Violated: Avoid a series of consecutive IF statements that when true they result in the same action by using or (||) operator.
week1-19/s119/Inchworm.hpp:15:15: Rule9 Violated: Code that is never executed.
week1-19/s119/Inchworm.hpp:9:7: Rule9 Violated: Code that is never executed.
",,"week1-19/s119/EggCartons.hpp:20:3: Rule4 Violated: Avoid a series of consecutive IF statements that when true they result in the same action by using or (||) operator.
week1-19/s119/EggCartons.hpp:21:3: Rule4 Violated: Avoid a series of consecutive IF statements that when true they result in the same action by using or (||) operator.
week1-19/s119/EggCartons.hpp:16:17: Rule9 Violated: Code that is never executed.
week1-19/s119/EggCartons.hpp:10:7: Rule9 Violated: Code that is never executed.
","week1-19/s119/PartySeats.hpp:46:3: Rule4 Violated: Avoid a series of consecutive IF statements that when true they result in the same action by using or (||) operator.
week1-19/s119/PartySeats.hpp:49:3: Rule4 Violated: Avoid a series of consecutive IF statements that when true they result in the same action by using or (||) operator.
week1-19/s119/PartySeats.hpp:39:28: Rule9 Violated: Code that is never executed.
week1-19/s119/PartySeats.hpp:33:7: Rule9 Violated: Code that is never executed.
week1-19/s119/PartySeats.hpp:28:6: Rule9 Violated: Code that is never executed.
week1-19/s119/PartySeats.hpp:68:3: Rule11 Violated: Variable declared in loop.
week1-19/s119/PartySeats.hpp:95:3: Rule11 Violated: Variable declared in loop.
week1-19/s119/PartySeats.hpp:100:3: Rule11 Violated: Variable declared in loop.
week1-19/s119/PartySeats.hpp:30:3: Rule11 Violated: Variable declared in loop.
","week1-19/s119/DownloadingFiles.hpp:42:26: Rule9 Violated: Code that is never executed.
week1-19/s119/DownloadingFiles.hpp:33:7: Rule9 Violated: Code that is never executed.
week1-19/s119/DownloadingFiles.hpp:28:6: Rule9 Violated: Code that is never executed.
week1-19/s119/DownloadingFiles.hpp:54:3: Rule11 Violated: Variable declared in loop.
week1-19/s119/DownloadingFiles.hpp:30:3: Rule11 Violated: Variable declared in loop.
week1-19/s119/DownloadingFiles.hpp:18:3: Rule11 Violated: Variable declared in loop.
",,,,,
s126,"week1-19/s126/CircularLine.hpp:10:7: Rule9 Violated: Code that is never executed.
week1-19/s126/CircularLine.hpp:27:9: Rule11 Violated: Variable declared in loop.
week1-19/s126/CircularLine.hpp:41:9: Rule11 Violated: Variable declared in loop.
week1-19/s126/CircularLine.hpp:66:9: Rule11 Violated: Variable declared in loop.
week1-19/s126/CircularLine.hpp:67:13: Rule11 Violated: Variable declared in loop.
week1-19/s126/CircularLine.hpp:66:9: Rule13 Violated: Nested For Loop With Indices Comparison.
","week1-19/s126/ThrowTheBall.hpp:8:7: Rule9 Violated: Code that is never executed.
week1-19/s126/ThrowTheBall.hpp:21:9: Rule11 Violated: Variable declared in loop.
","week1-19/s126/AzimuthMonitoring.hpp:33:21: and week1-19/s126/AzimuthMonitoring.hpp:36:21 Rule7 Violated: Repeated statement(s) in branches of conditional statement (could be taken out).
week1-19/s126/AzimuthMonitoring.hpp:46:25: and week1-19/s126/AzimuthMonitoring.hpp:50:25 Rule7 Violated: Repeated statement(s) in branches of conditional statement (could be taken out).
week1-19/s126/AzimuthMonitoring.hpp:47:25: and week1-19/s126/AzimuthMonitoring.hpp:51:25 Rule7 Violated: Repeated statement(s) in branches of conditional statement (could be taken out).
week1-19/s126/AzimuthMonitoring.hpp:48:25: and week1-19/s126/AzimuthMonitoring.hpp:52:25 Rule7 Violated: Repeated statement(s) in branches of conditional statement (could be taken out).
week1-19/s126/AzimuthMonitoring.hpp:48:25: and week1-19/s126/AzimuthMonitoring.hpp:52:25 Rule7 Violated: Repeated statement(s) in branches of conditional statement (could be taken out).
week1-19/s126/AzimuthMonitoring.hpp:47:25: and week1-19/s126/AzimuthMonitoring.hpp:51:25 Rule7 Violated: Repeated statement(s) in branches of conditional statement (could be taken out).
week1-19/s126/AzimuthMonitoring.hpp:46:25: and week1-19/s126/AzimuthMonitoring.hpp:50:25 Rule7 Violated: Repeated statement(s) in branches of conditional statement (could be taken out).
week1-19/s126/AzimuthMonitoring.hpp:60:25: and week1-19/s126/AzimuthMonitoring.hpp:65:25 Rule7 Violated: Repeated statement(s) in branches of conditional statement (could be taken out).
week1-19/s126/AzimuthMonitoring.hpp:61:25: and week1-19/s126/AzimuthMonitoring.hpp:66:25 Rule7 Violated: Repeated statement(s) in branches of conditional statement (could be taken out).
week1-19/s126/AzimuthMonitoring.hpp:62:25: and week1-19/s126/AzimuthMonitoring.hpp:67:25 Rule7 Violated: Repeated statement(s) in branches of conditional statement (could be taken out).
week1-19/s126/AzimuthMonitoring.hpp:63:25: and week1-19/s126/AzimuthMonitoring.hpp:68:25 Rule7 Violated: Repeated statement(s) in branches of conditional statement (could be taken out).
week1-19/s126/AzimuthMonitoring.hpp:63:25: and week1-19/s126/AzimuthMonitoring.hpp:68:25 Rule7 Violated: Repeated statement(s) in branches of conditional statement (could be taken out).
week1-19/s126/AzimuthMonitoring.hpp:62:25: and week1-19/s126/AzimuthMonitoring.hpp:67:25 Rule7 Violated: Repeated statement(s) in branches of conditional statement (could be taken out).
week1-19/s126/AzimuthMonitoring.hpp:61:25: and week1-19/s126/AzimuthMonitoring.hpp:66:25 Rule7 Violated: Repeated statement(s) in branches of conditional statement (could be taken out).
week1-19/s126/AzimuthMonitoring.hpp:60:25: and week1-19/s126/AzimuthMonitoring.hpp:65:25 Rule7 Violated: Repeated statement(s) in branches of conditional statement (could be taken out).
week1-19/s126/AzimuthMonitoring.hpp:10:7: Rule9 Violated: Code that is never executed.
week1-19/s126/AzimuthMonitoring.hpp:21:9: Rule11 Violated: Variable declared in loop.
","week1-19/s126/Inchworm.hpp:8:7: Rule9 Violated: Code that is never executed.
week1-19/s126/Inchworm.hpp:17:9: Rule11 Violated: Variable declared in loop.
","week1-19/s126/StreetParking.hpp:10:7: Rule9 Violated: Code that is never executed.
week1-19/s126/StreetParking.hpp:15:9: Rule11 Violated: Variable declared in loop.
week1-19/s126/StreetParking.hpp:16:9: Rule12 Violated: Consider refactoring the loop to remove the initial 'if' condition.
",,,,,,,,
s121,,"week1-19/s121/ThrowTheBall.hpp:2:7: Rule9 Violated: Code that is never executed.
week1-19/s121/ThrowTheBall.hpp:11:9: Rule11 Violated: Variable declared in loop.
","week1-19/s121/AzimuthMonitoring.hpp:4:7: Rule9 Violated: Code that is never executed.
","week1-19/s121/Inchworm.hpp:2:7: Rule9 Violated: Code that is never executed.
week1-19/s121/Inchworm.hpp:11:9: Rule11 Violated: Variable declared in loop.
week1-19/s121/Inchworm.hpp:22:9: Rule11 Violated: Variable declared in loop.
","week1-19/s121/StreetParking.hpp:12:13: Rule3 Violated: Avoiding deep nested IFs by using and (&&) operator.
week1-19/s121/StreetParking.hpp:35:13: Rule3 Violated: Avoiding deep nested IFs by using and (&&) operator.
week1-19/s121/StreetParking.hpp:24:17: Rule4 Violated: Avoid a series of consecutive IF statements that when true they result in the same action by using or (||) operator.
week1-19/s121/StreetParking.hpp:30:17: Rule4 Violated: Avoid a series of consecutive IF statements that when true they result in the same action by using or (||) operator.
week1-19/s121/StreetParking.hpp:3:7: Rule9 Violated: Code that is never executed.
week1-19/s121/StreetParking.hpp:9:9: Rule11 Violated: Variable declared in loop.
week1-19/s121/StreetParking.hpp:45:9: Rule11 Violated: Variable declared in loop.
","week1-19/s121/EggCartons.hpp:3:7: Rule9 Violated: Code that is never executed.
",,,,,,,
s128,"week1-19/s128/CircularLine.hpp:7:7: Rule9 Violated: Code that is never executed.
week1-19/s128/CircularLine.hpp:22:5: Rule11 Violated: Variable declared in loop.
week1-19/s128/CircularLine.hpp:27:5: Rule11 Violated: Variable declared in loop.
week1-19/s128/CircularLine.hpp:28:7: Rule11 Violated: Variable declared in loop.
","week1-19/s128/ThrowTheBall.hpp:5:7: Rule9 Violated: Code that is never executed.
week1-19/s128/ThrowTheBall.hpp:14:5: Rule11 Violated: Variable declared in loop.
","week1-19/s128/AzimuthMonitoring.hpp:7:7: Rule9 Violated: Code that is never executed.
week1-19/s128/AzimuthMonitoring.hpp:20:5: Rule11 Violated: Variable declared in loop.
week1-19/s128/AzimuthMonitoring.hpp:22:9: Rule11 Violated: Variable declared in loop.
","week1-19/s128/Inchworm.hpp:5:7: Rule9 Violated: Code that is never executed.
","week1-19/s128/StreetParking.hpp:7:7: Rule9 Violated: Code that is never executed.
week1-19/s128/StreetParking.hpp:19:5: Rule11 Violated: Variable declared in loop.
week1-19/s128/StreetParking.hpp:24:5: Rule11 Violated: Variable declared in loop.
week1-19/s128/StreetParking.hpp:41:5: Rule11 Violated: Variable declared in loop.
",,,,,,,,
s117,"week1-19/s117/CircularLine.hpp:6:7: Rule9 Violated: Code that is never executed.
","week1-19/s117/ThrowTheBall.hpp:3:7: Rule9 Violated: Code that is never executed.
week1-19/s117/ThrowTheBall.hpp:7:9: Rule11 Violated: Variable declared in loop.
","week1-19/s117/AzimuthMonitoring.hpp:79:17: and week1-19/s117/AzimuthMonitoring.hpp:83:17 Rule7 Violated: Repeated statement(s) in branches of conditional statement (could be taken out).
week1-19/s117/AzimuthMonitoring.hpp:79:17: and week1-19/s117/AzimuthMonitoring.hpp:83:17 Rule7 Violated: Repeated statement(s) in branches of conditional statement (could be taken out).
week1-19/s117/AzimuthMonitoring.hpp:8:7: Rule9 Violated: Code that is never executed.
","week1-19/s117/Inchworm.hpp:2:7: Rule9 Violated: Code that is never executed.
","week1-19/s117/StreetParking.hpp:31:17: Rule3 Violated: Avoiding deep nested IFs by using and (&&) operator.
week1-19/s117/StreetParking.hpp:38:17: Rule3 Violated: Avoiding deep nested IFs by using and (&&) operator.
week1-19/s117/StreetParking.hpp:54:17: Rule3 Violated: Avoiding deep nested IFs by using and (&&) operator.
week1-19/s117/StreetParking.hpp:63:17: Rule3 Violated: Avoiding deep nested IFs by using and (&&) operator.
week1-19/s117/StreetParking.hpp:5:7: Rule9 Violated: Code that is never executed.
week1-19/s117/StreetParking.hpp:12:9: Rule11 Violated: Variable declared in loop.
week1-19/s117/StreetParking.hpp:17:9: Rule11 Violated: Variable declared in loop.
","week1-19/s117/EggCartons.hpp:28:21: and week1-19/s117/EggCartons.hpp:33:21 Rule7 Violated: Repeated statement(s) in branches of conditional statement (could be taken out).
week1-19/s117/EggCartons.hpp:3:7: Rule9 Violated: Code that is never executed.
",,,,,,,
